Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,GLD,GLD,GLD,GLD,GLD,GLD,
2023-01-03,171.05999755859375,171.05999755859375,172.08999633789062,170.02000427246094,171.32000732421875,7992900,GLD
2023-01-04,172.6699981689453,172.6699981689453,173.08999633789062,171.85000610351562,172.86000061035156,7574600,GLD
2023-01-05,170.52000427246094,170.52000427246094,171.0,169.7899932861328,170.82000732421875,4692600,GLD
2023-01-06,173.7100067138672,173.7100067138672,173.9600067138672,171.22999572753906,171.75999450683594,7889000,GLD
2023-01-09,174.10000610351562,174.10000610351562,175.0399932861328,173.8800048828125,174.50999450683594,5134500,GLD
2023-01-10,174.74000549316406,174.74000549316406,174.97999572753906,174.05999755859375,174.61000061035156,4398400,GLD
2023-01-11,174.6199951171875,174.6199951171875,174.7899932861328,173.72000122070312,174.75999450683594,3374200,GLD
2023-01-12,176.63999938964844,176.63999938964844,176.7100067138672,174.8800048828125,176.00999450683594,6936900,GLD
2023-01-13,178.75999450683594,178.75999450683594,178.8300018310547,176.88999938964844,176.9600067138672,7468800,GLD
2023-01-17,177.58999633789062,177.58999633789062,178.24000549316406,177.08999633789062,178.2100067138672,6610800,GLD
2023-01-18,177.0800018310547,177.0800018310547,179.17999267578125,176.89999389648438,178.9199981689453,5384700,GLD
2023-01-19,179.88999938964844,179.88999938964844,180.02999877929688,178.08999633789062,178.3699951171875,6678700,GLD
2023-01-20,179.2899932861328,179.2899932861328,179.66000366210938,178.64999389648438,179.05999755859375,5754800,GLD
2023-01-23,179.6300048828125,179.6300048828125,179.69000244140625,177.77999877929688,178.35000610351562,5265500,GLD
2023-01-24,180.27999877929688,180.27999877929688,180.32000732421875,178.35000610351562,179.55999755859375,4604600,GLD
2023-01-25,181.11000061035156,181.11000061035156,181.22000122070312,179.2899932861328,179.35000610351562,6925300,GLD
2023-01-26,179.47000122070312,179.47000122070312,180.27000427246094,178.4600067138672,180.14999389648438,5860100,GLD
2023-01-27,179.22000122070312,179.22000122070312,179.72000122070312,178.25999450683594,179.27000427246094,6052700,GLD
2023-01-30,178.75999450683594,178.75999450683594,179.42999267578125,178.64999389648438,179.2899932861328,4210700,GLD
2023-01-31,179.41000366210938,179.41000366210938,179.6999969482422,178.5399932861328,178.82000732421875,5976900,GLD
2023-02-01,181.6699981689453,181.6699981689453,181.72999572753906,178.6300048828125,179.75,7996000,GLD
2023-02-02,177.89999389648438,177.89999389648438,181.11000061035156,177.74000549316406,181.0800018310547,8842400,GLD
2023-02-03,173.4600067138672,173.4600067138672,175.42999267578125,173.1199951171875,174.9199981689453,13674400,GLD
2023-02-06,173.82000732421875,173.82000732421875,174.4600067138672,173.27999877929688,174.11000061035156,8957000,GLD
2023-02-07,173.97999572753906,173.97999572753906,175.27000427246094,173.47000122070312,173.72000122070312,6794200,GLD
2023-02-08,174.41000366210938,174.41000366210938,174.99000549316406,173.8300018310547,174.94000244140625,4075600,GLD
2023-02-09,173.02999877929688,173.02999877929688,175.52000427246094,172.8699951171875,175.49000549316406,5361300,GLD
2023-02-10,173.36000061035156,173.36000061035156,173.67999267578125,172.6300048828125,173.6300048828125,2971100,GLD
2023-02-13,172.47999572753906,172.47999572753906,172.89999389648438,172.07000732421875,172.6999969482422,3970800,GLD
2023-02-14,172.61000061035156,172.61000061035156,173.50999450683594,171.41000366210938,171.97000122070312,5403100,GLD
2023-02-15,170.88999938964844,170.88999938964844,170.99000549316406,170.16000366210938,170.60000610351562,5423800,GLD
2023-02-16,170.75,170.75,171.60000610351562,169.9600067138672,170.33999633789062,4540400,GLD
2023-02-17,171.25999450683594,171.25999450683594,171.47000122070312,169.52000427246094,169.8699951171875,4809800,GLD
2023-02-21,170.6199951171875,170.6199951171875,171.5,170.33999633789062,171.1999969482422,4035900,GLD
2023-02-22,169.66000366210938,169.66000366210938,170.9600067138672,169.55999755859375,170.80999755859375,4105700,GLD
2023-02-23,169.57000732421875,169.57000732421875,170.1300048828125,169.0800018310547,169.83999633789062,5073500,GLD
2023-02-24,168.35000610351562,168.35000610351562,168.83999633789062,168.19000244140625,168.4199981689453,6496500,GLD
2023-02-27,169.00999450683594,169.00999450683594,169.22999572753906,168.5500030517578,168.8800048828125,4509200,GLD
